Gorovje,Izračun: Nedelja 06.09.2026 02 CEST,Ne 08 CEST,Ne 11 CEST,Ne 14 CEST,Ne 17 CEST,Ne 20 CEST,Ne 23 CEST,Po 02 CEST,Po 05 CEST,Po 08 CEST,Po 11 CEST,Po 14 CEST,Po 17 CEST,Po 20 CEST,Po 23 CEST,To 02 CEST,To 05 CEST,To 08 CEST,To 11 CEST,To 14 CEST,To 17 CEST,To 20 CEST,To 23 CEST,Sr 02 CEST,Sr 05 CEST,Sr 08 CEST,Sr 11 CEST,Sr 14 CEST,Sr 17 CEST,Sr 20 CEST,Sr 23 CEST,Če 02 CEST
JULIJSKE ALPE,na 5500 m,močan severo-zahod,močan severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,rahel zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan jugo-zahod,zmeren jugo-zahod,močan jugo-zahod,močan jugo-zahod
JULIJSKE ALPE,hitrost,59 km/h,57 km/h,50 km/h,45 km/h,43 km/h,37 km/h,36 km/h,30 km/h,27 km/h,30 km/h,41 km/h,51 km/h,51 km/h,35 km/h,42 km/h,39 km/h,33 km/h,28 km/h,29 km/h,25 km/h,20 km/h,16 km/h,19 km/h,21 km/h,29 km/h,36 km/h,45 km/h,55 km/h,50 km/h,64 km/h,75 km/h
JULIJSKE ALPE,na 3000 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel zahod,rahel zahod,zmeren sever,rahel severo-vzhod,rahel severo-zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan zahod,zmeren jugo-zahod,zmeren jugo-zahod
JULIJSKE ALPE,hitrost,27 km/h,23 km/h,24 km/h,33 km/h,26 km/h,20 km/h,19 km/h,18 km/h,14 km/h,15 km/h,19 km/h,12 km/h,3 km/h,16 km/h,17 km/h,13 km/h,16 km/h,11 km/h,14 km/h,13 km/h,19 km/h,21 km/h,31 km/h,32 km/h,33 km/h,44 km/h,41 km/h,51 km/h,58 km/h,42 km/h,46 km/h
JULIJSKE ALPE,na 2500 m,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel zahod,rahel severo-zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel severo-zahod,rahel sever,rahel severo-vzhod,rahel zahod,rahel jugo-zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
JULIJSKE ALPE,hitrost,8 km/h,10 km/h,12 km/h,15 km/h,11 km/h,11 km/h,18 km/h,18 km/h,13 km/h,15 km/h,13 km/h,10 km/h,7 km/h,6 km/h,9 km/h,9 km/h,8 km/h,6 km/h,6 km/h,10 km/h,17 km/h,22 km/h,27 km/h,28 km/h,32 km/h,40 km/h,32 km/h,45 km/h,55 km/h,41 km/h,34 km/h
JULIJSKE ALPE,na 2000 m,rahel vzhod,rahel jugo-vzhod,rahel vzhod,rahel jugo-vzhod,rahel jugo-zahod,rahel severo-zahod,rahel jugo-zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel severo-zahod,rahel sever,rahel jug,rahel jugo-zahod,rahel zahod,rahel severo-zahod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
JULIJSKE ALPE,hitrost,13 km/h,6 km/h,1 km/h,4 km/h,5 km/h,4 km/h,6 km/h,8 km/h,8 km/h,13 km/h,5 km/h,1 km/h,6 km/h,4 km/h,5 km/h,6 km/h,3 km/h,5 km/h,6 km/h,10 km/h,15 km/h,17 km/h,15 km/h,18 km/h,22 km/h,23 km/h,21 km/h,39 km/h,39 km/h,30 km/h,21 km/h
JULIJSKE ALPE,na 1500 m,rahel vzhod,rahel jugo-vzhod,rahel vzhod,rahel vzhod,rahel jug,rahel jugo-vzhod,rahel jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel vzhod,rahel vzhod,rahel severo-vzhod,rahel jug,rahel zahod,rahel zahod,rahel jug,rahel vzhod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jug,rahel jugo-zahod
JULIJSKE ALPE,hitrost,9 km/h,9 km/h,6 km/h,8 km/h,9 km/h,9 km/h,6 km/h,6 km/h,6 km/h,3 km/h,4 km/h,5 km/h,4 km/h,5 km/h,4 km/h,3 km/h,1 km/h,4 km/h,5 km/h,10 km/h,11 km/h,11 km/h,7 km/h,9 km/h,9 km/h,10 km/h,13 km/h,17 km/h,14 km/h,12 km/h,4 km/h
