Gorovje,Izračun: Nedelja 06.09.2026 02 CEST,Ne 08 CEST,Ne 11 CEST,Ne 14 CEST,Ne 17 CEST,Ne 20 CEST,Ne 23 CEST,Po 02 CEST,Po 05 CEST,Po 08 CEST,Po 11 CEST,Po 14 CEST,Po 17 CEST,Po 20 CEST,Po 23 CEST,To 02 CEST,To 05 CEST,To 08 CEST,To 11 CEST,To 14 CEST,To 17 CEST,To 20 CEST,To 23 CEST,Sr 02 CEST,Sr 05 CEST,Sr 08 CEST,Sr 11 CEST,Sr 14 CEST,Sr 17 CEST,Sr 20 CEST,Sr 23 CEST,Če 02 CEST
JULIJSKE ALPE,na 5500 m,25 %,30 %,23 %,31 %,41 %,50 %,52 %,60 %,58 %,60 %,66 %,68 %,68 %,93 %,72 %,67 %,53 %,50 %,67 %,66 %,66 %,61 %,61 %,57 %,60 %,32 %,39 %,82 %,79 %,88 %,100 %
JULIJSKE ALPE,na 3000 m,50 %,29 %,22 %,45 %,48 %,44 %,43 %,32 %,41 %,49 %,46 %,74 %,73 %,65 %,72 %,63 %,50 %,48 %,63 %,65 %,56 %,60 %,58 %,65 %,67 %,76 %,76 %,72 %,70 %,80 %,85 %
JULIJSKE ALPE,na 2500 m,76 %,59 %,67 %,73 %,64 %,68 %,70 %,54 %,51 %,58 %,50 %,75 %,76 %,62 %,70 %,64 %,60 %,62 %,82 %,65 %,53 %,59 %,64 %,76 %,75 %,88 %,80 %,67 %,74 %,84 %,78 %
JULIJSKE ALPE,na 2000 m,87 %,91 %,74 %,71 %,68 %,69 %,68 %,67 %,65 %,68 %,75 %,70 %,76 %,69 %,69 %,61 %,64 %,71 %,66 %,64 %,51 %,59 %,72 %,86 %,86 %,92 %,81 %,85 %,85 %,96 %,84 %
JULIJSKE ALPE,na 1500 m,94 %,78 %,58 %,56 %,59 %,62 %,64 %,64 %,62 %,64 %,59 %,56 %,64 %,64 %,65 %,62 %,61 %,62 %,52 %,52 %,56 %,64 %,72 %,80 %,83 %,76 %,65 %,90 %,94 %,94 %,95 %
JULIJSKE ALPE,na 1000 m,99 %,70 %,52 %,51 %,65 %,67 %,72 %,71 %,71 %,58 %,53 %,53 %,70 %,74 %,71 %,66 %,61 %,56 %,48 %,48 %,69 %,72 %,78 %,81 %,84 %,68 %,61 %,93 %,98 %,96 %,98 %
JULIJSKE ALPE,na 500 m,99 %,69 %,51 %,50 %,66 %,69 %,74 %,71 %,70 %,57 %,52 %,52 %,71 %,75 %,70 %,64 %,60 %,56 %,48 %,48 %,70 %,75 %,80 %,82 %,85 %,67 %,61 %,93 %,98 %,96 %,99 %
JULIJSKE ALPE / JUGOZAHOD,na 5500 m,26 %,30 %,22 %,31 %,41 %,48 %,48 %,54 %,55 %,57 %,65 %,63 %,69 %,77 %,70 %,71 %,56 %,48 %,59 %,60 %,66 %,61 %,59 %,56 %,68 %,29 %,35 %,80 %,81 %,87 %,93 %
JULIJSKE ALPE / JUGOZAHOD,na 3000 m,48 %,28 %,30 %,35 %,41 %,48 %,33 %,33 %,41 %,52 %,43 %,59 %,68 %,60 %,65 %,59 %,51 %,48 %,34 %,44 %,59 %,59 %,53 %,72 %,65 %,75 %,76 %,73 %,81 %,76 %,83 %
JULIJSKE ALPE / JUGOZAHOD,na 2500 m,76 %,67 %,83 %,77 %,57 %,64 %,67 %,51 %,52 %,58 %,55 %,71 %,69 %,63 %,62 %,58 %,56 %,59 %,60 %,55 %,58 %,65 %,59 %,80 %,73 %,88 %,87 %,71 %,82 %,82 %,74 %
JULIJSKE ALPE / JUGOZAHOD,na 2000 m,72 %,72 %,75 %,73 %,72 %,58 %,63 %,64 %,64 %,66 %,68 %,78 %,79 %,70 %,56 %,54 %,58 %,60 %,65 %,62 %,58 %,69 %,74 %,96 %,89 %,92 %,98 %,91 %,91 %,98 %,76 %
JULIJSKE ALPE / JUGOZAHOD,na 1500 m,77 %,75 %,61 %,62 %,59 %,59 %,55 %,54 %,55 %,61 %,63 %,69 %,70 %,67 %,53 %,52 %,54 %,61 %,60 %,64 %,61 %,77 %,79 %,92 %,90 %,88 %,98 %,99 %,99 %,99 %,88 %
JULIJSKE ALPE / JUGOZAHOD,na 1000 m,91 %,65 %,52 %,52 %,64 %,65 %,65 %,66 %,65 %,54 %,54 %,60 %,72 %,71 %,65 %,62 %,58 %,53 %,52 %,56 %,66 %,68 %,74 %,82 %,86 %,81 %,88 %,98 %,98 %,99 %,96 %
JULIJSKE ALPE / JUGOZAHOD,na 500 m,95 %,63 %,50 %,51 %,68 %,71 %,70 %,72 %,72 %,53 %,53 %,60 %,77 %,77 %,72 %,69 %,65 %,52 %,50 %,55 %,68 %,70 %,77 %,85 %,89 %,79 %,86 %,98 %,99 %,99 %,97 %
KAMNIŠKO-SAVINJSKE ALPE,na 5500 m,23 %,32 %,29 %,27 %,35 %,47 %,53 %,59 %,58 %,56 %,55 %,68 %,63 %,89 %,77 %,74 %,57 %,49 %,51 %,59 %,63 %,59 %,54 %,43 %,66 %,68 %,23 %,58 %,81 %,70 %,88 %
KAMNIŠKO-SAVINJSKE ALPE,na 3000 m,55 %,33 %,29 %,54 %,34 %,32 %,30 %,24 %,36 %,40 %,48 %,58 %,70 %,64 %,70 %,74 %,70 %,57 %,52 %,53 %,42 %,55 %,55 %,52 %,60 %,61 %,63 %,67 %,69 %,70 %,87 %
