Gorovje,Izračun: Nedelja 06.09.2026 14 CEST,Ne 20 CEST,Ne 23 CEST,Po 02 CEST,Po 05 CEST,Po 08 CEST,Po 11 CEST,Po 14 CEST,Po 17 CEST,Po 20 CEST,Po 23 CEST,To 02 CEST,To 05 CEST,To 08 CEST,To 11 CEST,To 14 CEST,To 17 CEST,To 20 CEST,To 23 CEST,Sr 02 CEST,Sr 05 CEST,Sr 08 CEST,Sr 11 CEST,Sr 14 CEST,Sr 17 CEST,Sr 20 CEST,Sr 23 CEST,Če 02 CEST,Če 05 CEST,Če 08 CEST,Če 11 CEST,Če 14 CEST
JULIJSKE ALPE,Vreme na 2500 m,jasno,jasno,jasno,jasno,pretežno oblačno,jasno,jasno,pretežno oblačno,pretežno oblačno,pretežno jasno,pretežno oblačno,jasno,jasno,jasno,pretežno jasno,pretežno jasno,jasno,jasno,jasno,jasno,jasno,delno oblačno,oblačno zmeren/-no/-na dež,pretežno oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež
JULIJSKE ALPE,Vreme na 1500 m,jasno,jasno,jasno,jasno,pretežno oblačno,jasno,jasno,pretežno oblačno,pretežno oblačno,pretežno jasno,pretežno oblačno,jasno,jasno,jasno,pretežno jasno,pretežno jasno,jasno,jasno,jasno,jasno,jasno,delno oblačno,oblačno zmeren/-no/-na dež,pretežno oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež
JULIJSKE ALPE / JUGOZAHOD,Vreme na 2500 m,jasno,jasno,jasno,jasno,pretežno oblačno,jasno,jasno,pretežno oblačno,pretežno oblačno,pretežno oblačno,pretežno oblačno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno rahel/-lo/-la dež,pretežno oblačno,pretežno jasno rahel/-lo/-la dež,oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež
JULIJSKE ALPE / JUGOZAHOD,Vreme na 1500 m,jasno,jasno,jasno,jasno,pretežno oblačno,jasno,jasno,pretežno oblačno,pretežno oblačno,pretežno oblačno,pretežno oblačno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno rahel/-lo/-la dež,pretežno oblačno,pretežno jasno rahel/-lo/-la dež,oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež
KAMNIŠKO-SAVINJSKE ALPE,Vreme na 2500 m,jasno,jasno,jasno,pretežno jasno,delno oblačno,delno oblačno,jasno,pretežno jasno,oblačno,delno oblačno,pretežno oblačno,pretežno jasno,jasno,jasno,pretežno jasno,jasno,jasno,jasno,jasno,jasno,jasno,pretežno jasno,delno oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež
KAMNIŠKO-SAVINJSKE ALPE,Vreme na 1500 m,jasno,jasno,jasno,pretežno jasno,delno oblačno,delno oblačno,jasno,pretežno jasno,oblačno,delno oblačno,pretežno oblačno,pretežno jasno,jasno,jasno,pretežno jasno,jasno,jasno,jasno,jasno,jasno,jasno,pretežno jasno,delno oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež
KARAVANKE,Vreme na 2500 m,jasno,jasno,jasno,jasno,pretežno oblačno,jasno,jasno,delno oblačno,oblačno,delno oblačno,pretežno oblačno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,pretežno jasno,pretežno oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež
KARAVANKE,Vreme na 1500 m,jasno,jasno,jasno,jasno,pretežno oblačno,jasno,jasno,delno oblačno,oblačno,delno oblačno,pretežno oblačno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,pretežno jasno,pretežno oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež
POHORJE,Vreme na 1500 m,jasno,jasno,jasno,jasno,pretežno jasno,pretežno oblačno,jasno,delno oblačno,delno oblačno,delno oblačno,pretežno oblačno,pretežno jasno,jasno,jasno,pretežno jasno,jasno,jasno,jasno,jasno,jasno,jasno,jasno,pretežno jasno rahel/-lo/-la dež,pretežno oblačno rahel/-lo/-la dež,oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež
SNEŽNIK,Vreme na 1500 m,jasno,jasno,jasno,jasno,oblačno,delno oblačno,jasno,jasno,pretežno jasno,delno oblačno,pretežno jasno,pretežno jasno,jasno,jasno,delno oblačno rahel/-lo/-la dež,pretežno jasno rahel/-lo/-la dež,jasno,jasno,jasno,jasno,jasno,delno oblačno,pretežno oblačno rahel/-lo/-la dež,pretežno oblačno rahel/-lo/-la dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež,oblačno zmeren/-no/-na dež
